Denominazione circolo,Squadra,Longitudine,Latitudine
ASSOCIAZIONE SPORTIVA DILETTANTISTICA TENNIS CLUB SESTO ,TENNIS CLUB SESTO,45.532992745535644,9.220834082735296
OFFICINE TENNIS BRESSO A.S.D.,OFFICINE TENNIS BRESSO,45.54327180372055,9.191688313447822
ASSOCIAZIONE SPORTIVA DILETTANTISTICA E RICREATIVA TENNIS CLUB CREMA,T.C. CREMA,45.369284080833005,9.676044979169244
TENNIS CLUB BAGNATICA SSD AR.L ,TENNIS CLUB BAGNATICA,45.657910948803135,9.780132540412657
TENNIS CLUB MILANO ALBERTO BONACOSSA ASSOCIAZIONE SPORTIVA DILETTANTISTICA,TENNIS CLUB MILANO – C,45.490542824594705,9.155246926916103
ASSOCIAZIONE SPORTIVA DILETTANTISTICA CLUB TENNIS CERIANO,CLUB TENNIS CERIANO,45.6332040261972,9.0746817404118
SPORTING CLUB SELVA ALTA ASSOCIAZIONE POLISPORTIVA DILETTANTISTICA,SELVA ALTA ,45.30620040331993,8.897041305998181
POLISP. COMUNALE TORBOLE CASAGLIA AS DILETTANTISTICA,TORBOLE CASAGLIA,45.51329557896364,10.114328084589799
MILAGO TENNIS CENTER AS DILETTANTISTICA,"MILAGO TENNIS
CENTER",45.424142131047496,9.128387826913713
CANOTTIERI ERIDANEA SOCIETA' COOPERATIVA SPORTIVA DILETTANTISTICA,T.T. 2021 ERIDANEA – VIADANA,44.976260129194436,10.423487598061469
CIRCOLO TENNIS CARATE BRIANZA ASSOCIAZIONE SPORTIVA DILETTANTISTICA,CT CARATE,45.676340124513715,9.223523528777875
ASSOCIAZIONE SPORTIVA DILETTANTISTICA TENNIS CLUB MORBEGNO,TENNIS CLUB MORBEGNO,46.14251081922372,9.575455235359637
ASSOCIAZIONE SPORTIVA DILETTANTISTICA TENNIS CLUB TIRANO ,ASD TC TIRANO,46.218428464417386,10.177286026942152
ALBANI TENNIS PROJECT ASSOCIAZIONE SPORTIVA DILETTANTISTICA,ALBANI TENNIS PROJECT,45.59702169338038,9.602168880606259
TENNIS CLUB ARCORE – ASSOCIAZIONE SPORTIVA DILETTANTISTICA,TENNIS CLUB ARCORE,45.63217963379361,9.324651071103398
ASSOCIAZIONE SPORTIVA DILETTANTISTICA- CENTRO SPORTIVO RANICA- SEZIONE TENNIS,C.S. RANICA SEZIONE TENNIS,45.72411988507642,9.711622281391348
